variable,test,regression,statistic,p_value,used_lag,n_obs,critical_5pct,break_index
crd_daly_rate,ADF,c,-0.9485179767807854,0.7715753670605068,3.0,30,-2.9640707407407407,
crd_daly_rate,KPSS,c,0.7265779009147374,0.011129281735023873,4.0,34,0.463,
crd_daly_rate,Zivot-Andrews,c,-3.345598510893303,0.7710866623005503,3.0,34,-4.81067,7.0
pm25,ADF,c,0.2069704149819893,0.9726498446119065,0.0,33,-2.954126991123355,
pm25,KPSS,c,0.24663826184914356,0.1,3.0,34,0.463,
pm25,Zivot-Andrews,c,-3.3078878394869147,0.7911008175953111,0.0,34,-4.81067,25.0
ozone,ADF,c,-2.0631917180322232,0.25957054593074735,9.0,21,-3.013097747543462,
ozone,KPSS,c,0.3061116925225953,0.1,3.0,31,0.463,
ozone,Zivot-Andrews,c,,,9.0,31,-4.81067,9.0
household_pm,ADF,c,-1.3034259229400715,0.6276034958339569,4.0,29,-2.9678817237279103,
household_pm,KPSS,c,0.7778396625750225,0.01,4.0,34,0.463,
household_pm,Zivot-Andrews,c,-3.696751335587492,0.5494795403245416,10.0,34,-4.81067,27.0
ageing_65_plus,ADF,c,3.534784954077014,1.0,10.0,23,-2.998499866852963,
ageing_65_plus,KPSS,c,0.7615621515327953,0.01,4.0,34,0.463,
ageing_65_plus,Zivot-Andrews,c,,,,34,,
gov_health_exp_pct_gdp,ADF,c,-0.10175790559030493,0.9492631575571144,0.0,33,-2.954126991123355,
gov_health_exp_pct_gdp,KPSS,c,0.780959829977764,0.01,4.0,34,0.463,
gov_health_exp_pct_gdp,Zivot-Andrews,c,,,7.0,34,-4.81067,7.0
